record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 06:50:07,1521,1691,12,0,10,1935,575,5,48,1,0,0,345,269,0,0,69,8,0,13,0,3626,1,1,0,12,785,0,0
2025-07-07 08:25:42,223,197,53,0,1,384,19,0,150,1,0,0,101,49,0,0,40,70,1,11,4,812,0,1,1,53,996,1,0
2025-07-07 09:53:57,657,1885,5,0,2,2080,5,1,40,1,0,0,130,89,0,0,6,65,0,7,0,3657,4,0,0,5,591,0,0
2025-07-07 14:42:44,853,35,20,0,0,51,21,338,13,1,0,10,284,183,0,0,42,2,0,455,1,708,2,0,0,20,871,0,0
2025-07-07 16:47:22,110,1787,5,0,0,945,680,17,14,1,0,39,334,224,0,0,10,62,0,10,31,2610,1,1,0,5,528,106,0
2025-07-07 19:48:06,962,22,7,0,0,36,44,6,0,0,0,0,114,88,0,0,17,64,0,5,0,215,0,0,0,7,90,0,0
2025-07-08 14:22:45,551,50,8,0,4,56,0,0,14,1,0,0,81,58,0,0,11,7,0,16,126,508,17,1,0,8,208,0,0
2025-07-08 15:50:06,143,0,17,0,10,1,0,6,5,0,0,0,86,62,0,0,11,5,1,35,0,94,0,1,1,17,194,0,0
2025-07-08 16:50:06,0,0,7,0,1,4,0,0,0,0,0,0,33,26,0,0,17,14,0,0,0,21,0,0,0,7,63,0,0
2025-07-08 21:11:40,208,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,292,602,27,1,0,0,10,0,0
2025-07-08 22:11:40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,590,12,0,0,0,0,0,0
2025-07-08 23:11:40,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,584,11,0,0,0,0,0,0
2025-07-09 00:11:40,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,616,11,0,0,0,0,0,0
2025-07-09 01:11:40,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,572,8,0,0,0,0,0,0
2025-07-09 08:19:19,58,8,1,0,0,1088,6,0,2983,1,0,0,14,11,0,0,2,2,0,0,3310,1126,31,1,0,1,17,0,0
2025-07-09 09:31:15,16,24,0,0,1,545,21,0,1857,1,0,0,9,4,0,0,0,2,0,0,2068,580,14,1,0,0,0,0,0
2025-07-09 10:31:15,22,0,0,0,0,1760,0,0,4209,1,0,0,0,0,0,0,0,0,0,0,4667,1760,27,0,0,0,0,0,0
2025-07-09 19:55:02,453,1,0,0,0,10,1,0,6535,1,0,0,9,6,0,0,1,2,0,0,10924,3572,52,0,0,0,2,0,0
2025-07-09 21:53:59,597,0,2,0,0,544,1,0,6711,1,0,0,50,23,0,0,1,2,0,0,11361,585,37,1,0,2,44,0,0
2025-07-09 22:53:59,0,0,0,0,0,674,0,0,6460,1,0,0,0,0,0,0,0,0,0,0,10743,674,32,0,0,0,0,0,0
2025-07-09 23:53:59,0,0,0,0,0,652,0,0,6386,1,0,0,0,0,0,0,0,0,0,0,10605,652,27,0,0,0,0,0,0
2025-07-10 00:53:59,0,0,0,0,0,678,0,0,6465,1,0,0,0,0,0,0,0,0,0,0,10769,678,27,0,0,0,0,0,0
2025-07-10 01:53:59,0,0,0,0,0,601,0,0,6377,1,0,0,0,0,0,0,0,0,0,0,10604,601,24,0,0,0,0,0,0
2025-07-10 02:53:59,0,0,0,0,0,620,0,0,6483,1,0,0,0,0,0,0,0,0,0,0,10802,620,23,0,0,0,0,0,0
2025-07-10 03:53:59,0,0,0,0,0,585,0,0,6475,1,0,0,0,0,0,0,0,0,0,0,10751,585,21,0,0,0,0,0,0
2025-07-10 04:54:05,0,0,0,0,0,597,0,0,6467,1,0,0,0,0,0,0,0,0,0,0,10734,597,21,0,0,0,0,0,0
2025-07-10 18:17:54,327,0,2,0,0,409,0,0,7737,1,0,0,8,3,0,0,1,5,0,0,10452,412,118,1,0,2,9,0,0
2025-07-13 05:56:26,534,0,2,0,0,667,0,0,33089,1,0,0,16,12,0,0,2,5,0,0,35331,680,247,1,0,2,16,0,0
2025-07-13 07:06:16,4,0,0,0,0,382,0,0,33633,1,0,0,0,0,0,0,0,0,0,0,36000,382,101,0,0,0,0,0,0
2025-07-13 08:27:09,0,0,0,0,0,889,0,0,33808,1,0,0,0,0,0,0,0,0,0,0,36000,889,78,0,0,0,0,0,0
2025-08-04 23:10:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,261,1,0,0,0,0,0,0
