record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-06-18 10:16:17,776,8550,21,0,0,8586,0,0,378,1,0,0,160,121,0,0,17,26,0,0,15,12215,0,1,0,21,982,0,0
2025-06-19 17:19:13,5888,0,1,0,0,946,0,0,18590,1,0,0,4,4,0,0,2,26,0,0,1618,947,8,0,0,1,0,0,0
2025-06-19 18:21:16,5877,0,0,0,0,791,0,0,18899,1,0,0,0,0,0,0,0,20,0,0,1648,791,8,0,0,0,0,0,0
2025-06-19 19:28:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-19 23:41:24,5652,0,0,0,0,932,0,0,18484,1,0,0,0,0,0,0,0,22,0,0,1687,938,8,0,0,0,0,0,0
2025-06-20 01:48:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-21 14:55:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-22 02:40:02,2,2,2,0,0,3,0,0,3,0,0,0,16,15,0,0,2,22,0,0,0,21,0,0,0,2,49,0,0
2025-06-22 03:40:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,0,0
2025-06-22 04:44:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0
2025-06-22 05:56:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0
2025-06-22 07:03:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
2025-06-22 08:25:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
2025-06-22 09:38:58,1,1,0,0,3,1,0,0,0,0,0,0,4,4,0,0,1,24,0,0,0,5,0,0,0,0,15,0,0
2025-06-22 10:49:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
2025-06-22 12:00:47,520,8945,20,56,0,3304,57,7,1,0,0,0,316,257,0,0,17,23,0,101,1,4763,0,0,0,20,552,0,0
2025-06-22 13:12:47,442,3538,5,0,0,4880,0,1,0,0,0,0,58,43,0,0,5,24,0,1,0,6449,0,0,0,5,252,0,0
2025-06-22 14:28:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,0,0
2025-06-22 15:38:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
2025-06-22 16:39:58,2414,0,2,0,0,2677,0,0,7362,1,0,0,4,4,0,0,2,20,0,0,2297,2685,3,0,0,2,1,0,0
2025-06-22 17:40:00,2820,0,0,0,0,3245,0,0,9021,1,0,0,0,0,0,0,0,20,0,0,2836,3245,4,0,0,0,0,0,0
2025-06-22 18:40:00,2828,0,0,0,0,3212,0,0,9139,1,0,0,0,0,0,0,0,20,0,0,2657,3212,4,0,0,0,0,0,0
2025-06-22 19:40:00,2871,0,0,0,0,3298,0,0,9289,1,0,0,0,0,0,0,0,20,0,0,2836,3298,4,0,0,0,0,0,0
2025-06-22 20:40:08,2923,0,0,0,0,3254,0,0,9167,1,0,0,0,0,0,0,0,21,0,0,2864,3254,3,0,0,0,0,0,0
2025-06-22 21:40:08,2648,0,0,0,0,4322,0,0,9061,1,0,0,0,0,0,0,0,20,0,0,2329,4322,4,0,0,0,0,0,0
2025-06-22 22:40:08,2760,0,0,0,0,3353,0,0,9022,1,0,0,0,0,0,0,0,20,0,0,2803,3353,4,0,0,0,0,0,0
2025-06-22 23:40:08,2940,0,0,0,0,3157,0,0,9346,1,0,0,0,0,0,0,0,20,0,0,2891,3157,4,0,0,0,0,0,0
2025-06-23 00:40:08,2803,0,0,0,0,3373,0,0,9372,1,0,0,0,0,0,0,0,20,0,0,2731,3373,4,0,0,0,0,0,0
2025-06-23 01:40:08,2915,0,0,0,0,3191,0,0,9377,1,0,0,0,0,0,0,0,20,0,0,2913,3191,4,0,0,0,0,0,0
2025-06-23 02:40:08,1940,0,1,0,0,2095,0,0,6240,1,0,0,1,0,0,0,1,20,0,0,1906,2095,2,0,0,1,3,0,0
2025-06-23 03:40:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 04:40:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 05:40:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 06:40:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 07:40:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 08:42:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,0,0
2025-06-23 09:55:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-23 17:16:08,2910,0,2,0,0,3649,0,0,9040,1,0,0,6,4,0,0,3,24,0,0,2577,3649,4,0,0,2,4,0,0
2025-06-23 18:16:08,3016,0,0,0,0,3260,0,0,9092,1,0,0,0,0,0,0,0,20,0,0,2813,3260,4,0,0,0,0,0,0
2025-06-23 19:16:08,2688,0,0,0,0,3872,0,0,9063,1,0,0,0,0,0,0,0,20,0,0,2509,3872,3,0,0,0,0,0,0
2025-06-23 20:16:08,2825,0,0,0,0,3501,0,0,9416,1,0,0,0,0,0,0,0,20,0,0,2764,3501,4,0,0,0,0,0,0
2025-06-23 23:13:51,6065,0,1,0,0,778,0,0,18709,1,0,0,2,2,0,0,1,22,0,0,1680,788,7,0,0,1,0,0,0
2025-06-24 00:13:51,5778,0,0,0,0,766,0,0,18608,1,0,0,0,0,0,0,0,20,0,0,1637,766,7,0,0,0,0,0,0
2025-06-24 01:13:51,1288,0,1,0,0,98,0,0,3772,1,0,0,2,1,0,0,2,20,0,0,313,99,1,0,0,1,5,0,0
2025-06-24 02:13:51,2870,0,1,0,0,349,0,0,8547,1,0,0,0,0,0,0,1,20,0,0,739,350,4,0,0,1,0,0,0
2025-06-24 03:13:51,6076,0,0,0,0,801,0,0,18788,1,0,0,0,0,0,0,0,20,0,0,1671,801,7,0,0,0,0,0,0
2025-06-24 04:54:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-24 07:54:59,1834,7400,13,0,0,8650,13,0,4355,1,0,0,127,76,0,0,14,28,0,3,412,12455,2,0,0,13,459,0,0
2025-06-24 09:10:07,4907,0,1,0,0,984,0,0,15667,1,0,0,1,0,0,0,1,25,0,0,1356,984,6,0,0,1,29,0,0
2025-06-24 12:22:32,503,6763,8,0,0,7397,0,0,485,1,0,0,22,11,0,0,9,24,0,1,36,10354,0,1,0,8,367,0,0
2025-06-24 13:30:14,187,2376,3,0,1,2759,3,0,1,0,0,0,87,65,0,0,5,22,0,4,0,3770,0,0,0,3,532,1,0
2025-06-24 14:46:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
2025-06-24 16:00:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2025-06-24 17:07:43,0,1,5,0,0,13,0,0,1,0,0,0,14,11,0,0,7,26,0,0,0,21,0,0,0,5,3,0,0
2025-06-24 18:08:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-24 19:08:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-24 20:09:41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-25 03:35:49,2,2,0,0,0,2,0,0,0,0,0,0,8,8,0,0,0,22,0,0,0,12,0,0,0,0,15,0,0
2025-06-25 06:02:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-25 06:04:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0
2025-06-25 08:35:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-25 08:46:10,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,26,0,0,1,4,0,1,0,0,132,0,0
2025-06-25 09:57:11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0
2025-06-25 11:05:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
2025-06-25 12:05:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,0,0
2025-06-25 13:09:24,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,22,0,0,0,2,0,0,0,0,16,0,0
2025-06-25 14:10:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-25 15:10:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-25 16:14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
2025-06-25 17:14:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-25 18:23:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-26 03:00:08,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0
2025-06-26 04:00:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-26 05:01:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
2025-06-26 06:01:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-26 07:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-26 08:03:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-26 09:03:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-26 10:08:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
2025-06-26 11:22:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2025-06-26 12:44:01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,5,8,0,0
2025-06-26 13:59:20,162,389,5,0,18,229,93,2,3,0,0,0,165,60,0,0,6,26,0,12,7,477,40,0,0,5,595,0,0
2025-06-26 15:07:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
2025-06-27 04:54:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0
2025-06-27 05:54:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
2025-06-27 07:26:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-27 13:13:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-27 13:26:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-28 03:42:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-28 03:42:17,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,22,0,0,0,0,0,1,0,2,5,0,0
2025-06-28 04:42:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 05:43:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 07:26:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-28 09:00:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 10:05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 11:20:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 12:30:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 13:44:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 14:50:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 15:52:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 16:53:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 17:53:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 18:53:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 19:53:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 20:53:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 21:53:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 22:53:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-28 23:53:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-29 00:53:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-29 01:53:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2025-06-29 02:54:08,7,7,0,0,0,8,2,0,0,0,0,0,36,35,0,0,0,20,0,0,0,47,0,0,0,0,16,0,0
2025-06-29 04:04:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
2025-06-29 05:42:02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-30 13:44:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-01 11:38:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-03 08:45:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,4950
2025-07-03 10:06:12,308,3854,3,0,0,4896,19,4,0,0,0,0,74,39,0,0,3,27,0,10,0,6600,0,0,0,3,353,7,607
2025-07-03 11:26:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-04 05:37:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-05 08:20:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-05 15:04:55,720,1624,1,0,0,754,15,2,3,1,0,0,106,74,0,0,0,22,0,3,3,1459,0,0,0,1,674,0,1184
2025-07-05 16:04:55,1422,0,1,0,0,82,0,0,3991,1,0,0,10,9,0,0,1,20,0,0,189,90,2,0,0,1,20,0,584
2025-07-05 17:05:00,5728,0,0,0,0,124,0,0,16344,1,0,0,0,0,0,0,0,20,0,0,763,124,8,0,0,0,0,0,0
2025-07-05 18:05:00,5808,0,0,0,0,118,0,0,16650,1,0,0,0,0,0,0,0,20,0,0,752,118,8,0,0,0,0,0,0
2025-07-05 19:05:00,5879,0,0,0,0,169,0,0,16978,1,0,0,0,0,0,0,0,20,0,0,886,169,8,0,0,0,0,0,0
2025-07-05 20:05:00,5669,0,0,0,0,105,0,0,13709,1,0,0,0,0,0,0,0,20,0,0,848,105,8,0,0,0,0,0,0
2025-07-05 21:05:00,5807,0,0,0,0,128,0,0,16932,1,0,0,0,0,0,0,0,20,0,0,811,128,8,0,0,0,0,0,0
2025-07-05 22:05:00,6054,0,0,0,0,158,0,0,16603,1,0,0,0,0,0,0,0,20,0,0,804,158,8,0,0,0,0,0,0
2025-07-05 23:05:00,5869,0,0,0,0,108,0,0,16542,1,0,0,0,0,0,0,0,20,0,0,784,108,8,0,0,0,0,0,0
2025-07-06 00:05:00,5893,0,0,0,0,125,0,0,16822,1,0,0,0,0,0,0,0,20,0,0,804,125,7,0,0,0,0,0,0
2025-07-06 01:05:00,5761,0,0,0,0,167,0,0,15661,1,0,0,0,0,0,0,0,20,0,0,835,167,8,0,0,0,0,0,0
2025-07-06 02:05:00,3620,10700,12,0,0,10508,5,0,7521,1,0,0,132,72,0,0,12,20,0,3,347,14791,4,0,0,12,509,0,0
2025-07-06 03:08:32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
