record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 15:53:49,606,553,7,0,0,805,86,28,231,1,0,48,211,145,0,0,15,37,3,29,331,1633,20,0,3,7,405,2,0
2025-07-09 16:53:49,328,358,6,0,0,599,107,4,175,1,0,34,207,124,0,1,29,59,2,57,174,1207,4,0,2,6,719,0,0
2025-07-10 11:43:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 06:46:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 08:29:22,4429,5588,4,0,0,6343,217,0,61,1,0,0,124,84,47,24,46,18,0,36,220,7545,3,1,0,4,488,0,0
2025-07-13 10:52:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 15:16:39,48,29,18,0,0,200,247,20,46,1,0,4,314,248,1,1,67,60,0,5,66,835,6,0,0,18,304,3,0
2025-07-13 16:48:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 11:21:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-22 15:30:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-25 07:35:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-26 11:07:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-26 17:04:36,0,0,0,0,1,32,0,0,17,0,0,0,46,38,0,0,18,15,0,0,0,34,0,0,0,0,48,0,0
2025-07-26 18:07:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-27 05:08:39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-27 07:05:19,128,131,4,0,0,178,131,15,10,1,0,0,63,46,0,0,15,23,0,0,8,441,1,0,0,4,78,0,0
2025-07-27 08:22:46,1,1,0,0,0,31,0,0,0,0,0,0,66,58,0,0,22,82,0,1,0,37,0,0,0,0,21,0,0
2025-07-27 09:45:54,452,3755,2,0,0,3910,17,0,8,0,0,0,72,41,0,0,15,78,0,49,113,5714,2,0,0,2,262,0,0
2025-07-27 11:02:34,85,13,8,0,0,55,13,3,32,1,0,0,136,89,0,0,15,87,0,14,104,562,15,0,0,8,339,1,0
2025-07-27 12:19:40,324,179,7,0,0,322,173,4,80,1,0,5,198,127,0,0,17,99,1,19,198,984,31,0,1,7,484,2,0
2025-07-27 15:02:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-28 13:03:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-28 15:07:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-30 12:26:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-31 14:37:31,15,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,5,0,0,0,0,0,0,0,0,12,0,0
2025-08-01 11:50:01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-02 19:11:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-03 15:25:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-04 14:57:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 12:36:33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 02:44:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 16:00:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 03:00:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-10 09:19:32,0,0,4,0,0,1,0,0,0,0,0,0,37,33,0,0,23,11,0,0,0,7,0,1,0,4,33,0,0
2025-08-10 11:09:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-12 05:27:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-13 19:16:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-14 15:58:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
